c_nace|d_pocpl|d_ukopl|naz_nace|
477890|1992-01-01|2025-12-31|OSTATNÍ MALOOBCHOD S NOVÝM ZBOŽÍM VE SPECIALIZOVANÝCH PRODEJNÁCH J. N.|
478100|2026-01-01||MALOOBCHOD S MOTOROVÝMI VOZIDLY|
479100|2026-01-01||ZPROSTŘEDKOVÁNÍ V OBLASTI NESPECIALIZOVANÉHO MALOOBCHODU|
491000|2026-01-01||KOLEJOVÁ OSOBNÍ DOPRAVA|
493100|2026-01-01||PRAVIDELNÁ SILNIČNÍ OSOBNÍ DOPRAVA|
493920|1992-01-01|2025-12-31|OSOBNÍ DOPRAVA LANOVKOU NEBO VLEKEM|
494200|2026-01-01||STĚHOVACÍ SLUŽBY|
501000|1992-01-01|2025-12-31|NÁMOŘNÍ A POBŘEŽNÍ OSOBNÍ DOPRAVA|
510000|1992-01-01|2025-12-31|LETECKÁ DOPRAVA|
511090|1992-01-01|2025-12-31|OSTATNÍ LETECKÁ OSOBNÍ DOPRAVA|
520000|2026-01-01||SKLADOVÁNÍ A PODPŮRNÉ ČINNOSTI PRO DOPRAVU|
522200|2026-01-01||ČINNOSTI SOUVISEJÍCÍ S VODNÍ DOPRAVOU|
523000|2026-01-01||ZPROSTŘEDKOVÁNÍ V OBLASTI DOPRAVY|
532000|2026-01-01||OSTATNÍ POŠTOVNÍ A KURÝRNÍ ČINNOSTI|
551090|1992-01-01|2025-12-31|OSTATNÍ PODOBNÁ UBYTOVACÍ ZAŘÍZENÍ|
559010|1992-01-01|2025-12-31|UBYTOVÁNÍ V ZAŘÍZENÝCH PRONÁJMECH|
561200|2026-01-01||POSKYTOVÁNÍ STRAVOVÁNÍ U STÁNKŮ A MOBILNÍCH ZAŘÍZENÍ|
562920|1992-01-01|2025-12-31|STRAVOVÁNÍ VE ŠKOLNÍCH ZAŘÍZENÍCH, MENZÁCH|
581000|2026-01-01||VYDÁVÁNÍ KNIH, NOVIN A OSTATNÍ VYDAVATELSKÉ ČINNOSTI, KROMĚ VYDÁVÁNÍ SOFTWARU|
581300|2026-01-01||VYDÁVÁNÍ ČASOPISŮ A OSTATNÍCH PERIODIK|
582000|2026-01-01||VYDÁVÁNÍ SOFTWARU|
591000|2026-01-01||ČINNOSTI V OBLASTI FILMŮ, VIDEOZÁZNAMŮ A TELEVIZNÍCH POŘADŮ|
591400|2026-01-01||PROMÍTÁNÍ FILMŮ|
601020|2026-01-01||DISTRIBUCE ZVUKOVÝCH ZÁZNAMŮ|
611000|1992-01-01|2025-12-31|ČINNOSTI SOUVISEJÍCÍ S PEVNOU TELEKOMUNIKAČNÍ SÍTÍ|
612000|2026-01-01||ČINNOSTI V OBLASTI PŘEPRODEJE TELEKOMUNIKAČNÍCH SLUŽEB A ZPROSTŘEDKOVÁNÍ TELEKOMUNIKAČNÍCH ČINNOSTÍ|
619000|2026-01-01||OSTATNÍ TELEKOMUNIKAČNÍ ČINNOSTI|
621010|2026-01-01||PROGRAMOVÁNÍ A VÝVOJ POČÍTAČOVÝCH HER, HERNÍHO SOFTWARU A HERNÍCH NÁSTROJŮ|
631100|1992-01-01|2025-12-31|ČINNOSTI SOUVISEJÍCÍ SE ZPRACOVÁNÍM DAT A HOSTINGEM|
640000|1992-01-01|2025-12-31|FINANČNÍ ZPROSTŘEDKOVÁNÍ, KROMĚ POJIŠŤOVNICTVÍ A PENZIJNÍHO FINANCOVÁNÍ|
642000|1992-01-01|2025-12-31|ČINNOSTI HOLDINGOVÝCH SPOLEČNOSTÍ|
649000|1992-01-01|2025-12-31|OSTATNÍ FINANČNÍ ZPROSTŘEDKOVÁNÍ|
649220|1992-01-01|2025-12-31|POSKYTOVÁNÍ OBCHODNÍCH ÚVĚRŮ|
649900|2026-01-01||OSTATNÍ FINANČNÍ ČINNOSTI, KROMĚ POJIŠŤOVÁNÍ A PENZIJNÍHO FINANCOVÁNÍ J. N.|
651000|1992-01-01|2025-12-31|POJIŠTĚNÍ|
653000|1992-01-01|2025-12-31|PENZIJNÍ FINANCOVÁNÍ|
661200|1992-01-01|2025-12-31|OBCHODOVÁNÍ S CENNÝMI PAPÍRY A KOMODITAMI NA BURZÁCH|
662200|1992-01-01|2025-12-31|ČINNOSTI ZÁSTUPCŮ POJIŠŤOVNY A MAKLÉŘŮ|
681000|1992-01-01|2025-12-31|NÁKUP A NÁSLEDNÝ PRODEJ VLASTNÍCH NEMOVITOSTÍ|
682030|1992-01-01|2025-12-31|SPRÁVA VLASTNÍCH NEBO PRONAJATÝCH NEMOVITOSTÍ S BYTOVÝMI PROSTORY|
690000|1992-01-01|2025-12-31|PRÁVNÍ A ÚČETNICKÉ ČINNOSTI|
701000|1992-01-01|2025-12-31|ČINNOSTI VEDENÍ PODNIKŮ|
711000|1992-01-01|2025-12-31|ARCHITEKTONICKÉ A INŽENÝRSKÉ ČINNOSTI A SOUVISEJÍCÍ TECHNICKÉ PORADENSTVÍ|
711230|1992-01-01|2025-12-31|HYDROMETEOROLOGICKÉ A METEOROLOGICKÉ ČINNOSTI|
721000|1992-01-01|2025-12-31|VÝZKUM A VÝVOJ V OBLASTI PŘÍRODNÍCH A TECHNICKÝCH VĚD|
722000|2026-01-01||VÝZKUM A VÝVOJ V OBLASTI SPOLEČENSKÝCH A HUMANITNÍCH VĚD|
731200|2026-01-01||ZASTUPOVÁNÍ MÉDIÍ PŘI PRODEJI REKLAMNÍHO ČASU A PROSTORU|
741100|2026-01-01||ČINNOSTI V OBLASTI PRŮMYSLOVÉHO A MÓDNÍHO DESIGNU|
743000|1992-01-01|2025-12-31|PŘEKLADATELSKÉ A TLUMOČNICKÉ ČINNOSTI|
749900|2026-01-01||VŠECHNY OSTATNÍ ODBORNÉ, VĚDECKÉ A TECHNICKÉ ČINNOSTI J. N.|
771100|2026-01-01||PRONÁJEM A LEASING OSOBNÍCH AUTOMOBILŮ A LEHKÝCH MOTOROVÝCH VOZIDEL|
772200|2026-01-01||PRONÁJEM A LEASING OSTATNÍCH VÝROBKŮ PRO OSOBNÍ POTŘEBU A PŘEVÁŽNĚ PRO DOMÁCNOST|
773300|1992-01-01|2025-12-31|PRONÁJEM A LEASING KANCELÁŘSKÝCH STROJŮ A ZAŘÍZENÍ, VČETNĚ POČÍTAČŮ|
774000|1992-01-01|2025-12-31|LEASING DUŠEVNÍHO VLASTNICTVÍ A PODOBNÝCH PRODUKTŮ, KROMĚ DĚL CHRÁNĚNÝCH AUTORSKÝM PRÁVEM|
781000|2026-01-01||ČINNOSTI AGENTUR ZPROSTŘEDKUJÍCÍCH ZAMĚSTNÁNÍ|
791100|1992-01-01|2025-12-31|ČINNOSTI CESTOVNÍCH AGENTUR|
800000|1992-01-01|2025-12-31|BEZPEČNOSTNÍ A PÁTRACÍ ČINNOSTI|
810000|2026-01-01||ČINNOSTI SOUVISEJÍCÍ SE STAVBAMI A ÚPRAVOU KRAJINY|
812200|2026-01-01||SPECIALIZOVANÉ ČIŠTĚNÍ A ÚKLID BUDOV A PRŮMYSLOVÝCH ZAŘÍZENÍ|
821000|2026-01-01||ADMINISTRATIVNÍ A KANCELÁŘSKÉ ČINNOSTI|
829000|1992-01-01|2025-12-31|PODPŮRNÉ ČINNOSTI PRO PODNIKÁNÍ J. N.|
840000|1992-01-01|2025-12-31|VEŘEJNÁ SPRÁVA A OBRANA; POVINNÉ SOCIÁLNÍ ZABEZPEČENÍ|
841210|2026-01-01||REGULACE ČINNOSTÍ SOUVISEJÍCÍ S POSKYTOVÁNÍ ZDRAVOTNÍ PÉČE|
842000|1992-01-01|2025-12-31|ČINNOSTI PRO SPOLEČNOST JAKO CELEK|
842200|2026-01-01||ČINNOSTI V OBLASTI OBRANY|
843000|2026-01-01||ČINNOSTI V OBLASTI POVINNÉHO SOCIÁLNÍ ZABEZPEČENÍ|
853000|2026-01-01||SEKUNDÁRNÍ A POSTSEKUNDÁRNÍ NETERCIÁRNÍ VZDĚLÁVÁNÍ|
853200|2026-01-01||SEKUNDÁRNÍ ODBORNÉ VZDĚLÁVÁNÍ|
854000|2026-01-01||TERCIÁRNÍ VZDĚLÁVÁNÍ|
855100|2026-01-01||SPORTOVNÍ A REKREAČNÍ VZDĚLÁVÁNÍ|
855900|1992-01-01|2025-12-31|OSTATNÍ VZDĚLÁVÁNÍ J. N.|
856000|1992-01-01|2025-12-31|PODPŮRNÉ ČINNOSTI VE VZDĚLÁVÁNÍ|
862000|1992-01-01|2025-12-31|AMBULANTNÍ A ZUBNÍ ZDRAVOTNÍ PÉČE|
869000|1992-01-01|2025-12-31|OSTATNÍ ČINNOSTI SOUVISEJÍCÍ SE ZDRAVOTNÍ PÉČÍ|
869500|2026-01-01||ČINNOSTI FYZIOTERAPEUTŮ|
872000|1992-01-01|2025-12-31|SOCIÁLNÍ PÉČE V ZAŘÍZENÍCH PRO OSOBY S CHRONICKÝM DUŠEVNÍM ONEMOCNĚNÍM A OSOBY ZÁVISLÉ NA NÁVYKOVÝCH LÁTKÁCH|
879000|1992-01-01|2025-12-31|OSTATNÍ POBYTOVÉ SLUŽBY SOCIÁLNÍ PÉČE|
881010|1992-01-01|2025-12-31|AMBULANTNÍ NEBO TERÉNNÍ SOCIÁLNÍ SLUŽBY PRO SENIORY|
889910|1992-01-01|2025-12-31|SOCIÁLNÍ SLUŽBY PRO UPRCHLÍKY, OBĚTI KATASTROF|
900300|1992-01-01|2025-12-31|UMĚLECKÁ TVORBA|
902000|2026-01-01||ČINNOSTI V OBLASTI SCÉNICKÝCH UMĚNÍ|
910300|1992-01-01|2025-12-31|PROVOZOVÁNÍ KULTURNÍCH PAMÁTEK, HISTORICKÝCH STAVEB A OBDOBNÝCH TURISTICKÝCH ZAJÍMAVOSTÍ|
912100|2026-01-01||ČINNOSTI MUZEÍ A GALERIÍ|
930000|1992-01-01|2025-12-31|SPORTOVNÍ, ZÁBAVNÍ A REKREAČNÍ ČINNOSTI|
931300|1992-01-01|2025-12-31|ČINNOSTI FITCENTER|
932900|1992-01-01|2025-12-31|OSTATNÍ ZÁBAVNÍ A REKREAČNÍ ČINNOSTI J. N.|
941200|1992-01-01|2025-12-31|ČINNOSTI PROFESNÍCH ORGANIZACÍ|
949200|1992-01-01|2025-12-31|ČINNOSTI POLITICKÝCH STRAN A ORGANIZACÍ|
949930|1992-01-01|2025-12-31|ČINNOSTI ORGANIZACÍ NA PODPORU REKREAČNÍ A ZÁJMOVÉ ČINNOSTI|
949970|1992-01-01|2025-12-31|ČINNOSTI OBČANSKÝCH INICIATIV, PROTESTNÍCH HNUTÍ|
951100|1992-01-01|2025-12-31|OPRAVY POČÍTAČŮ A PERIFERNÍCH ZAŘÍZENÍ|
952300|1992-01-01|2025-12-31|OPRAVY OBUVI A KOŽENÝCH VÝROBKŮ|
953000|2026-01-01||OPRAVY A ÚDRŽBA MOTOROVÝCH VOZIDEL A MOTOCYKLŮ|
960300|1992-01-01|2025-12-31|POHŘEBNÍ A SOUVISEJÍCÍ ČINNOSTI|
962000|2026-01-01||KADEŘNICKÉ A KOSMETICKÉ ČINNOSTI, ČINNOSTI DENNÍCH LÁZNÍ A PODOBNÉ ČINNOSTI|
969900|2026-01-01||POSKYTOVÁNÍ OSTATNÍCH OSOBNÍCH SLUŽEB J. N.|
982000|2026-01-01||ČINNOSTI DOMÁCNOSTÍ POSKYTUJÍCÍCH BLÍŽE NEURČENÉ SLUŽBY PRO VLASTNÍ POTŘEBU|
11200|1992-01-01|2025-12-31|PĚSTOVÁNÍ RÝŽE|
11600|1992-01-01|2025-12-31|PĚSTOVÁNÍ PŘADNÝCH ROSTLIN|
12200|1992-01-01|2025-12-31|PĚSTOVÁNÍ TROPICKÉHO A SUBTROPICKÉHO OVOCE|
12600|1992-01-01|2025-12-31|PĚSTOVÁNÍ OLEJNATÝCH PLODŮ|
13000|1992-01-01|2025-12-31|MNOŽENÍ ROSTLIN|
14300|1992-01-01|2025-12-31|CHOV KONÍ A JINÝCH KOŇOVITÝCH|
14700|1992-01-01|2025-12-31|CHOV DRŮBEŽE|
15000|1992-01-01|2025-12-31|SMÍŠENÉ HOSPODÁŘSTVÍ|
16300|1992-01-01|2025-12-31|POSKLIZŇOVÉ ČINNOSTI|
21000|2026-01-01||PĚSTOVÁNÍ LESA A JINÉ ČINNOSTI V OBLASTI LESNICTVÍ|
30000|2026-01-01||RYBOLOV A AKVAKULTURA|
32000|2026-01-01||AKVAKULTURA|
51000|1992-01-01|2025-12-31|TĚŽBA A ÚPRAVA ČERNÉHO UHLÍ|
52010|1992-01-01|2025-12-31|TĚŽBA HNĚDÉHO UHLÍ, KROMĚ LIGNITU|
60000|1992-01-01|2025-12-31|TĚŽBA ROPY A ZEMNÍHO PLYNU|
71000|1992-01-01|2025-12-31|TĚŽBA A ÚPRAVA ŽELEZNÝCH RUD|
72100|1992-01-01|2025-12-31|TĚŽBA A ÚPRAVA URANOVÝCH A THORIOVÝCH RUD|
72910|1992-01-01|2025-12-31|TĚŽBA OSTATNÍCH NEŽELEZNÝCH RUD|
81100|1992-01-01|2025-12-31|DOBÝVÁNÍ KAMENE PRO VÝTVARNÉ NEBO STAVEBNÍ ÚČELY, VÁPENCE, SÁDROVCE, KŘÍDY A BŘIDLICE|
89200|1992-01-01|2025-12-31|TĚŽBA RAŠELINY|
91000|1992-01-01|2025-12-31|PODPŮRNÉ ČINNOSTI PŘI TĚŽBĚ ROPY A ZEMNÍHO PLYNU|
99050|2026-01-01||PODPŮRNÉ ČINNOSTI PRO TĚŽBU URANOVÝCH A THORIOVÝCH RUD|
101100|2026-01-01||ZPRACOVÁNÍ A KONZERVOVÁNÍ MASA, KROMĚ DRŮBEŽÍHO MASA|
103000|2026-01-01||ZPRACOVÁNÍ A KONZERVOVÁNÍ OVOCE A ZELENINY|
104000|2026-01-01||VÝROBA ROSTLINNÝCH A ŽIVOČIŠNÝCH OLEJŮ A TUKŮ|
105100|2026-01-01||VÝROBA MLÉČNÝCH VÝROBKŮ|
106200|2026-01-01||VÝROBA ŠKROBÁRENSKÝCH VÝROBKŮ|
107300|2026-01-01||VÝROBA MOUČNÝCH VÝROBKŮ|
108300|2026-01-01||ZPRACOVÁNÍ ČAJE A KÁVY|
108900|2026-01-01||VÝROBA OSTATNÍCH POTRAVINÁŘSKÝCH VÝROBKŮ J. N.|
110000|2026-01-01||VÝROBA NÁPOJŮ|
110400|2026-01-01||VÝROBA OSTATNÍCH NEDESTILOVANÝCH KVAŠENÝCH NÁPOJŮ|
120000|2026-01-01||VÝROBA TABÁKOVÝCH VÝROBKŮ|
133000|2026-01-01||KONEČNÁ ÚPRAVA TEXTILIÍ|
139300|2026-01-01||VÝROBA KOBERCŮ A KOBERCOVÝCH PŘEDLOŽEK|
139900|2026-01-01||VÝROBA OSTATNÍCH TEXTILIÍ J. N.|
141200|1992-01-01|2025-12-31|VÝROBA PRACOVNÍCH ODĚVŮ|
142300|2026-01-01||VÝROBA PRACOVNÍCH ODĚVŮ|
151000|1992-01-01|2025-12-31|ČINĚNÍ A ÚPRAVA USNÍ (VYČINĚNÝCH KŮŽÍ); ZPRACOVÁNÍ A BARVENÍ KOŽEŠIN; VÝROBA BRAŠNÁŘSKÝCH, SEDLÁŘSKÝCH A PODOBNÝCH VÝROBKŮ|
152010|1992-01-01|2025-12-31|VÝROBA OBUVI S USŇOVÝM SVRŠKEM|
161100|2026-01-01||PILAŘSKÁ VÝROBA A IMPREGNACE DŘEVA|
162300|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH VÝROBKŮ STAVEBNÍHO TRUHLÁŘSTVÍ A TESAŘSTVÍ|
162900|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH DŘEVĚNÝCH, KORKOVÝCH, PROUTĚNÝCH A SLAMĚNÝCH VÝROBKŮ, KROMĚ NÁBYTKU|
171110|2026-01-01||VÝROBA CHEMICKÝCH BUNIČIN|
172000|2026-01-01||VÝROBA VÝROBKŮ Z PAPÍRU A LEPENKY|
172400|2026-01-01||VÝROBA TAPET|
181100|2026-01-01||TISK NOVIN|
182000|2026-01-01||ROZMNOŽOVÁNÍ NAHRANÝCH NOSIČŮ|
200000|2026-01-01||VÝROBA CHEMICKÝCH LÁTEK A CHEMICKÝCH VÝROBKŮ|
201300|2026-01-01||VÝROBA JINÝCH ZÁKLADNÍCH ANORGANICKÝCH CHEMICKÝCH LÁTEK|
201600|2026-01-01||VÝROBA PLASTŮ V PRIMÁRNÍCH FORMÁCH|
204000|2026-01-01||VÝROBA MYCÍCH, ČISTICÍCH A LEŠTICÍCH PROSTŘEDKŮ|
205100|2026-01-01||VÝROBA KAPALNÝCH BIOPALIV|
205990|2026-01-01||VÝROBA JINÝCH CHEMICKÝCH VÝROBKŮ J. N.|
212000|2026-01-01||VÝROBA FARMACEUTICKÝCH PŘÍPRAVKŮ|
221900|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH PRYŽOVÝCH VÝROBKŮ|
222300|2026-01-01||VÝROBA PLASTOVÝCH DVEŘÍ A OKEN|
231000|2026-01-01||VÝROBA SKLA A SKLENĚNÝCH VÝROBKŮ|
231400|2026-01-01||VÝROBA SKLENĚNÝCH VLÁKEN|
233100|2026-01-01||VÝROBA KERAMICKÝCH OBKLADAČEK A DLAŽDIC|
234200|2026-01-01||VÝROBA KERAMICKÝCH SANITÁRNÍCH VÝROBKŮ|
235000|2026-01-01||VÝROBA CEMENTU, VÁPNA A SÁDRY|
236100|2026-01-01||VÝROBA BETONOVÝCH VÝROBKŮ PRO STAVEBNÍ ÚČELY|
236500|2026-01-01||VÝROBA VLÁKNOCEMENTOVÝCH VÝROBKŮ|
239100|2026-01-01||VÝROBA BRUSIV|
241010|2026-01-01||VÝROBA ZÁKLADNÍCH HUTNÍCH VÝROBKŮ ZE ŽELEZA A OCELI, VÝROBA SUROVÉHO ŽELEZA A OCELI|
243000|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH VÝROBKŮ ZÍSKANÝCH JEDNOSTUPŇOVÝM ZPRACOVÁNÍM OCELI|
243400|1992-01-01|2025-12-31|TAŽENÍ OCELOVÉHO DRÁTU ZA STUDENA|
244300|1992-01-01|2025-12-31|VÝROBA A HUTNÍ ZPRACOVÁNÍ OLOVA, ZINKU A CÍNU|
245000|1992-01-01|2025-12-31|SLÉVÁRENSTVÍ|
245190|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH ODLITKŮ Z LITINY|
245300|1992-01-01|2025-12-31|VÝROBA ODLITKŮ Z LEHKÝCH NEŽELEZNÝCH KOVŮ|
251100|1992-01-01|2025-12-31|VÝROBA KOVOVÝCH KONSTRUKCÍ A JEJICH DÍLŮ|
252200|2026-01-01||VÝROBA OSTATNÍCH KOVOVÝCH CISTEREN, NÁDRŽÍ A PODOBNÝCH NÁDOB|
255100|2026-01-01||POVLAKOVÁNÍ KOVŮ|
256200|2026-01-01||VÝROBA ZÁMKŮ A KOVÁNÍ|
259100|1992-01-01|2025-12-31|VÝROBA OCELOVÝCH SUDŮ A PODOBNÝCH NÁDOB|
259900|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH KOVODĚLNÝCH VÝROBKŮ J. N.|
261200|1992-01-01|2025-12-31|VÝROBA OSAZENÝCH ELEKTRONICKÝCH DESEK|
265000|1992-01-01|2025-12-31|VÝROBA MĚŘICÍCH, ZKUŠEBNÍCH A NAVIGAČNÍCH PŘÍSTROJŮ; VÝROBA ČASOMĚRNÝCH PŘÍSTROJŮ|
267000|1992-01-01|2025-12-31|VÝROBA OPTICKÝCH A FOTOGRAFICKÝCH PŘÍSTROJŮ A ZAŘÍZENÍ|
271100|2026-01-01||VÝROBA ELEKTRICKÝCH MOTORŮ, GENERÁTORŮ A TRANSFORMÁTORŮ|
273100|2026-01-01||VÝROBA OPTICKÝCH KABELŮ|
275000|2026-01-01||VÝROBA SPOTŘEBIČŮ PŘEVÁŽNĚ PRO DOMÁCNOST|
280000|2026-01-01||VÝROBA STROJŮ A ZAŘÍZENÍ J. N.|
281300|2026-01-01||VÝROBA OSTATNÍCH ČERPADEL A KOMPRESORŮ|
282100|2026-01-01||VÝROBA PECÍ, KOTLŮ A STÁLÝCH TEPELNÝCH ZAŘÍZENÍ PRO DOMÁCNOSTI|
282500|2026-01-01||VÝROBA KLIMATIZAČNÍCH ZAŘÍZENÍ JINÝCH NEŽ PRO DOMÁCNOST|
284100|2026-01-01||VÝROBA TVÁŘECÍCH A OBRÁBĚCÍCH STROJŮ NA OPRACOVÁNÍ KOVŮ|
289200|2026-01-01||VÝROBA STROJŮ PRO TĚŽBU, DOBÝVÁNÍ A STAVEBNICTVÍ|
289600|2026-01-01||VÝROBA STROJŮ NA VÝROBU PLASTŮ A PRYŽE|
292000|1992-01-01|2025-12-31|VÝROBA KAROSERIÍ MOTOROVÝCH VOZIDEL; VÝROBA PŘÍVĚSŮ A NÁVĚSŮ|
300000|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH DOPRAVNÍCH PROSTŘEDKŮ A ZAŘÍZENÍ|
301300|2026-01-01||STAVBA VOJENSKÝCH LODÍ A PLAVIDEL|
304000|2026-01-01||VÝROBA VOJENSKÝCH BOJOVÝCH VOZIDEL|
309900|2026-01-01||VÝROBA OSTATNÍCH DOPRAVNÍCH PROSTŘEDKŮ A ZAŘÍZENÍ J. N.|
320000|2026-01-01||OSTATNÍ ZPRACOVATELSKÝ PRŮMYSL|
321300|2026-01-01||VÝROBA BIŽUTERIE A PŘÍBUZNÝCH VÝROBKŮ|
325000|2026-01-01||VÝROBA LÉKAŘSKÝCH A DENTÁLNÍCH NÁSTROJŮ A POTŘEB|
330000|2026-01-01||OPRAVY, ÚDRŽBA A INSTALACE STROJŮ A ZAŘÍZENÍ|
331300|2026-01-01||OPRAVY A ÚDRŽBA ELEKTRONICKÝCH A OPTICKÝCH PŘÍSTROJŮ A ZAŘÍZENÍ|
331700|2026-01-01||OPRAVY A ÚDRŽBA OSTATNÍCH CIVILNÍCH DOPRAVNÍCH PROSTŘEDKŮ A ZAŘÍZENÍ|
331830|2026-01-01||OPRAVY A ÚDRŽBA VOJENSKÝCH LETADEL A KOSMICKÝCH LODÍ|
351000|2026-01-01||VÝROBA, PŘENOS A DISTRIBUCE ELEKTŘINY|
351400|2026-01-01||DISTRIBUCE ELEKTŘINY|
352200|2026-01-01||DISTRIBUCE PLYNNÝCH PALIV PROSTŘEDNICTVÍM SÍTÍ|
353020|1992-01-01|2025-12-31|ROZVOD TEPLA|
353070|1992-01-01|2025-12-31|VÝROBA LEDU|
381000|1992-01-01|2025-12-31|SHROMAŽĎOVÁNÍ A SBĚR ODPADŮ|
382100|1992-01-01|2025-12-31|ODSTRAŇOVÁNÍ ODPADŮ, KROMĚ NEBEZPEČNÝCH|
383100|2026-01-01||SPALOVÁNÍ ODPADŮ BEZ ENERGETICKÉHO VYUŽITÍ|
411000|1992-01-01|2025-12-31|DEVELOPERSKÁ ČINNOST|
421100|1992-01-01|2025-12-31|VÝSTAVBA SILNIC A DÁLNIC|
422100|1992-01-01|2025-12-31|VÝSTAVBA INŽENÝRSKÝCH SÍTÍ PRO KAPALINY A PLYNY|
429100|1992-01-01|2025-12-31|VÝSTAVBA VODNÍCH DĚL|
431100|1992-01-01|2025-12-31|DEMOLICE|
432100|1992-01-01|2025-12-31|ELEKTRICKÉ INSTALACE|
432900|1992-01-01|2025-12-31|OSTATNÍ STAVEBNÍ INSTALACE|
433300|2026-01-01||OBKLÁDÁNÍ STĚN A POKLÁDÁNÍ PODLAHOVÝCH KRYTIN|
434100|2026-01-01||POKRÝVAČSKÉ PRÁCE|
439900|1992-01-01|2025-12-31|OSTATNÍ SPECIALIZOVANÉ STAVEBNÍ ČINNOSTI J. N.|
452000|1992-01-01|2025-12-31|OPRAVY A ÚDRŽBA MOTOROVÝCH VOZIDEL, KROMĚ MOTOCYKLŮ|
461000|2026-01-01||ZPROSTŘEDKOVÁNÍ V OBLASTI VELKOOBCHODU ZA PROVIZI|
461400|2026-01-01||ZPROSTŘEDKOVÁNÍ V OBLASTI VELKOOBCHODU ZA PROVIZI SE STROJI, PRŮMYSLOVÝM ZAŘÍZENÍM, LODĚMI A LETADLY|
461800|2026-01-01||ZPROSTŘEDKOVÁNÍ V OBLASTI SPECIALIZOVANÉHO VELKOOBCHODU ZA PROVIZI S OSTATNÍM ZBOŽÍM|
462100|2026-01-01||VELKOOBCHOD S OBILÍM, SUROVÝM TABÁKEM, OSIVY A KRMIVY|
463000|2026-01-01||VELKOOBCHOD S POTRAVINAMI, NÁPOJI A TABÁKOVÝMI VÝROBKY|
463400|2026-01-01||VELKOOBCHOD S NÁPOJI|
463800|2026-01-01||SPECIALIZOVANÝ VELKOOBCHOD S OSTATNÍMI POTRAVINAMI|
464200|2026-01-01||VELKOOBCHOD S ODĚVY A OBUVÍ|
464420|1992-01-01|2025-12-31|VELKOOBCHOD S PRACÍMI A ČISTICÍMI PROSTŘEDKY|
464800|2026-01-01||VELKOOBCHOD S HODINAMI, HODINKAMI A KLENOTY|
466000|2026-01-01||VELKOOBCHOD S OSTATNÍMI STROJI, STROJNÍM ZAŘÍZENÍM A PŘÍSLUŠENSTVÍM|
466400|2026-01-01||VELKOOBCHOD S OSTATNÍMI STROJI A ZAŘÍZENÍM|
467110|1992-01-01|2025-12-31|VELKOOBCHOD S PEVNÝMI PALIVY A PŘÍBUZNÝMI VÝROBKY|
467500|1992-01-01|2025-12-31|VELKOOBCHOD S CHEMICKÝMI VÝROBKY|
468300|2026-01-01||VELKOOBCHOD SE DŘEVEM, STAVEBNÍMI MATERIÁLY A SANITÁRNÍM VYBAVENÍM|
470000|1992-01-01|2025-12-31|MALOOBCHOD, KROMĚ MOTOROVÝCH VOZIDEL|
472000|1992-01-01|2025-12-31|MALOOBCHOD S POTRAVINAMI, NÁPOJI A TABÁKOVÝMI VÝROBKY VE SPECIALIZOVANÝCH PRODEJNÁCH|
472400|1992-01-01|2025-12-31|MALOOBCHOD S CHLEBEM, PEČIVEM, CUKRÁŘSKÝMI VÝROBKY A CUKROVINKAMI|
473000|1992-01-01|2025-12-31|MALOOBCHOD S POHONNÝMI HMOTAMI VE SPECIALIZOVANÝCH PRODEJNÁCH|
475000|2026-01-01||MALOOBCHOD S OSTATNÍMI VÝROBKY PŘEVÁŽNĚ PRO DOMÁCNOST|
475400|2026-01-01||MALOOBCHOD S ELEKTROSPOTŘEBIČI A ELEKTRONIKOU PŘEVÁŽNĚ PRO DOMÁCNOST|
476200|2026-01-01||MALOOBCHOD S NOVINAMI A OSTATNÍMI PERIODICKÝMI PUBLIKACEMI A PAPÍRNICKÝM ZBOŽÍM|
476900|2026-01-01||MALOOBCHOD S VÝROBKY PRO KULTURNÍ ROZHLED A REKREACI J. N.|
477300|2026-01-01||MALOOBCHOD S FARMACEUTICKÝMI VÝROBKY|
477700|2026-01-01||MALOOBCHOD S HODINAMI, HODINKAMI A KLENOTY|
477900|1992-01-01|2025-12-31|MALOOBCHOD S POUŽITÝM ZBOŽÍM V PRODEJNÁCH|
478200|1992-01-01|2025-12-31|MALOOBCHOD S TEXTILEM, ODĚVY A OBUVÍ VE STÁNCÍCH A NA TRZÍCH|
479110|1992-01-01|2025-12-31|MALOOBCHOD PROSTŘEDNICTVÍM INTERNETU|
491100|2026-01-01||ŽELEZNIČNÍ OSOBNÍ DOPRAVA|
493200|1992-01-01|2025-12-31|TAXISLUŽBA A PRONÁJEM OSOBNÍCH VOZŮ S ŘIDIČEM|
493930|1992-01-01|2025-12-31|NEPRAVIDELNÁ POZEMNÍ OSOBNÍ DOPRAVA|
495000|1992-01-01|2025-12-31|POTRUBNÍ DOPRAVA|
501000|2026-01-01||NÁMOŘNÍ A POBŘEŽNÍ OSOBNÍ DOPRAVA|
510000|2026-01-01||LETECKÁ DOPRAVA|
