c_nace|d_pocpl|d_ukopl|naz_nace|
949920|1992-01-01|2025-12-31|ČINNOSTI ORGANIZACÍ NA PODPORU KULTURNÍ ČINNOSTI|
949960|1992-01-01|2025-12-31|ČINNOSTI ORGANIZACÍ NA OCHRANU A ZLEPŠENÍ POSTAVENÍ ETNICKÝCH, MENŠINOVÝCH A JINÝCH SPECIÁLNÍCH SKUPIN|
951000|1992-01-01|2025-12-31|OPRAVY POČÍTAČŮ A KOMUNIKAČNÍCH ZAŘÍZENÍ|
952200|1992-01-01|2025-12-31|OPRAVY PŘÍSTROJŮ A ZAŘÍZENÍ PŘEVÁŽNĚ PRO DOMÁCNOST, DŮM A ZAHRADU|
952900|1992-01-01|2025-12-31|OPRAVY OSTATNÍCH VÝROBKŮ PRO OSOBNÍ POTŘEBU A PŘEVÁŽNĚ PRO DOMÁCNOST|
960100|1992-01-01|2025-12-31|PRANÍ A CHEMICKÉ ČIŠTĚNÍ TEXTILNÍCH A KOŽEŠINOVÝCH VÝROBKŮ|
961030|2026-01-01||PRANÍ A ČIŠTĚNÍ TEXTILNÍCH A KOŽEŠINOVÝCH VÝROBKŮ PRO JINÉ OBLASTI PODNIKÁNÍ|
969000|2026-01-01||POSKYTOVÁNÍ OSTATNÍCH OSOBNÍCH SLUŽEB|
981000|2026-01-01||ČINNOSTI DOMÁCNOSTÍ PRODUKUJÍCÍCH BLÍŽE NEURČENÉ VÝROBKY PRO VLASTNÍ POTŘEBU|
11100|1992-01-01|2025-12-31|PĚSTOVÁNÍ OBILOVIN (KROMĚ RÝŽE), LUŠTĚNIN A OLEJNATÝCH SEMEN|
11500|1992-01-01|2025-12-31|PĚSTOVÁNÍ TABÁKU|
12100|1992-01-01|2025-12-31|PĚSTOVÁNÍ VINNÝCH HROZNŮ|
12500|1992-01-01|2025-12-31|PĚSTOVÁNÍ OSTATNÍHO STROMOVÉHO A KEŘOVÉHO OVOCE A OŘECHŮ|
12900|1992-01-01|2025-12-31|PĚSTOVÁNÍ OSTATNÍCH TRVALÝCH PLODIN|
14200|1992-01-01|2025-12-31|CHOV JINÉHO SKOTU|
14600|1992-01-01|2025-12-31|CHOV PRASAT|
14930|1992-01-01|2025-12-31|CHOV ZVÍŘAT PRO ZÁJMOVÝ CHOV|
16200|1992-01-01|2025-12-31|PODPŮRNÉ ČINNOSTI PRO ŽIVOČIŠNOU VÝROBU|
20000|2026-01-01||LESNICTVÍ A TĚŽBA DŘEVA|
24000|2026-01-01||PODPŮRNÉ ČINNOSTI PRO LESNICTVÍ|
31200|2026-01-01||SLADKOVODNÍ RYBOLOV|
50000|1992-01-01|2025-12-31|TĚŽBA A ÚPRAVA ČERNÉHO A HNĚDÉHO UHLÍ|
52000|1992-01-01|2025-12-31|TĚŽBA A ÚPRAVA HNĚDÉHO UHLÍ|
52040|1992-01-01|2025-12-31|ÚPRAVA LIGNITU|
70000|1992-01-01|2025-12-31|TĚŽBA A ÚPRAVA RUD|
72000|1992-01-01|2025-12-31|TĚŽBA A ÚPRAVA NEŽELEZNÝCH RUD|
72900|1992-01-01|2025-12-31|TĚŽBA A ÚPRAVA OSTATNÍCH NEŽELEZNÝCH RUD|
81000|1992-01-01|2025-12-31|DOBÝVÁNÍ KAMENE, PÍSKŮ A JÍLŮ|
89100|1992-01-01|2025-12-31|TĚŽBA CHEMICKÝCH MINERÁLŮ A MINERÁLŮ PRO VÝROBU HNOJIV|
90000|1992-01-01|2025-12-31|PODPŮRNÉ ČINNOSTI PŘI TĚŽBĚ|
99030|2026-01-01||PODPŮRNÉ ČINNOSTI PRO TĚŽBU LIGNITU|
101000|2026-01-01||ZPRACOVÁNÍ A KONZERVOVÁNÍ MASA A VÝROBA MASNÝCH VÝROBKŮ|
102000|2026-01-01||ZPRACOVÁNÍ A KONZERVOVÁNÍ RYB, KORÝŠŮ A MĚKKÝŠŮ|
103900|2026-01-01||OSTATNÍ ZPRACOVÁNÍ A KONZERVOVÁNÍ OVOCE A ZELENINY|
105000|2026-01-01||VÝROBA MLÉČNÝCH VÝROBKŮ, VÝROBA ZMRZLINY A LEDU K LIDSKÉ SPOTŘEBĚ|
106100|2026-01-01||VÝROBA MLÝNSKÝCH VÝROBKŮ|
107200|2026-01-01||VÝROBA SUCHARŮ, SUŠENEK A TRVANLIVÝCH PEKAŘSKÝCH A CUKRÁŘSKÝCH VÝROBKŮ|
108200|2026-01-01||VÝROBA KAKAA, ČOKOLÁDY A CUKROVINEK|
108600|2026-01-01||VÝROBA HOMOGENIZOVANÝCH POTRAVINÁŘSKÝCH PŘÍPRAVKŮ A DIETETICKÝCH POTRAVIN|
109200|2026-01-01||VÝROBA KRMIV PRO ZVÍŘATA V ZÁJMOVÉM CHOVU|
110300|2026-01-01||VÝROBA CIDERŮ A JINÝCH KVAŠENÝCH OVOCNÝCH NÁPOJŮ|
110700|2026-01-01||VÝROBA NEALKOHOLICKÝCH NÁPOJŮ A BALENÝCH VOD|
132000|2026-01-01||TKANÍ TEXTILIÍ|
139200|2026-01-01||VÝROBA BYTOVÉHO TEXTILU A KONFEKČNÍCH BYTOVÝCH TEXTILIÍ|
139600|2026-01-01||VÝROBA OSTATNÍCH TECHNICKÝCH A PRŮMYSLOVÝCH TEXTILIÍ|
141090|2026-01-01||VÝROBA OSTATNÍCH PLETENÝCH A HÁČKOVANÝCH ODĚVŮ|
142100|2026-01-01||VÝROBA SVRCHNÍCH ODĚVŮ|
150000|1992-01-01|2025-12-31|VÝROBA USNÍ A SOUVISEJÍCÍCH VÝROBKŮ|
152000|1992-01-01|2025-12-31|VÝROBA OBUVI|
161000|1992-01-01|2025-12-31|VÝROBA PILAŘSKÁ A IMPREGNACE DŘEVA|
162200|1992-01-01|2025-12-31|VÝROBA SESTAVENÝCH PARKETOVÝCH PODLAH|
162700|2026-01-01||KONEČNÁ ÚPRAVA DŘEVĚNÝCH VÝROBKŮ|
171100|2026-01-01||VÝROBA BUNIČINY|
171200|2026-01-01||VÝROBA PAPÍRU A LEPENKY|
172300|2026-01-01||VÝROBA KANCELÁŘSKÝCH POTŘEB Z PAPÍRU|
181000|2026-01-01||TISK A ČINNOSTI SOUVISEJÍCÍ S TISKEM|
181400|2026-01-01||VÁZÁNÍ A SOUVISEJÍCÍ ČINNOSTI|
192000|2026-01-01||VÝROBA RAFINOVANÝCH ROPNÝCH PRODUKTŮ A PRODUKTŮ Z FOSILNÍCH PALIV|
201200|2026-01-01||VÝROBA BARVIV A PIGMENTŮ|
201500|2026-01-01||VÝROBA HNOJIV A DUSÍKATÝCH SLOUČENIN|
203000|2026-01-01||VÝROBA BAREV, LAKŮ A JINÝCH NÁTĚROVÝCH HMOT, TISKAŘSKÝCH BAREV A TMELŮ|
205000|2026-01-01||VÝROBA OSTATNÍCH CHEMICKÝCH VÝROBKŮ|
205910|2026-01-01||VÝROBA ADITIV DO POHONNÝCH HMOT NA BÁZI ETHYLTERCBUTYLÉTERU (ETBE) A METHYLTERCBUTYLÉTERU (MTBE)|
211000|2026-01-01||VÝROBA ZÁKLADNÍCH FARMACEUTICKÝCH VÝROBKŮ|
221100|2026-01-01||VÝROBA PRYŽOVÝCH PLÁŠŤŮ A DUŠÍ A PROTEKTOROVÁNÍ PNEUMATIK|
222200|2026-01-01||VÝROBA PLASTOVÝCH OBALŮ|
230000|2026-01-01||VÝROBA OSTATNÍCH NEKOVOVÝCH MINERÁLNÍCH VÝROBKŮ|
231300|2026-01-01||VÝROBA DUTÉHO SKLA|
233000|2026-01-01||VÝROBA STAVEBNÍCH VÝROBKŮ Z JÍLOVITÝCH MATERIÁLŮ|
234100|2026-01-01||VÝROBA PORCELÁNOVÝCH A KERAMICKÝCH VÝROBKŮ PŘEVÁŽNĚ PRO DOMÁCNOST A DEKORAČNÍCH PŘEDMĚTŮ|
234900|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH KERAMICKÝCH VÝROBKŮ|
236000|2026-01-01||VÝROBA BETONOVÝCH, CEMENTOVÝCH A SÁDROVÝCH VÝROBKŮ|
236400|2026-01-01||VÝROBA MALT|
239000|2026-01-01||VÝROBA BRUSIV A OSTATNÍCH NEKOVOVÝCH MINERÁLNÍCH VÝROBKŮ J. N.|
241000|2026-01-01||VÝROBA SUROVÉHO ŽELEZA, OCELI A FEROSLITIN|
242000|1992-01-01|2025-12-31|VÝROBA OCELOVÝCH TRUB, TRUBEK, DUTÝCH PROFILŮ A SOUVISEJÍCÍCH POTRUBNÍCH TVAROVEK|
243300|1992-01-01|2025-12-31|TVÁŘENÍ OCELOVÝCH PROFILŮ ZA STUDENA|
244200|1992-01-01|2025-12-31|VÝROBA A HUTNÍ ZPRACOVÁNÍ HLINÍKU|
244600|1992-01-01|2025-12-31|ZPRACOVÁNÍ JADERNÉHO PALIVA|
245120|1992-01-01|2025-12-31|VÝROBA ODLITKŮ Z LITINY S KULIČKOVÝM GRAFITEM|
245220|1992-01-01|2025-12-31|VÝROBA ODLITKŮ Z LEGOVANÝCH OCELÍ|
251000|1992-01-01|2025-12-31|VÝROBA KONSTRUKČNÍCH KOVOVÝCH VÝROBKŮ|
252100|1992-01-01|2025-12-31|VÝROBA RADIÁTORŮ A KOTLŮ K ÚSTŘEDNÍMU TOPENÍ|
255000|1992-01-01|2025-12-31|KOVÁNÍ, LISOVÁNÍ, RAŽENÍ, VÁLCOVÁNÍ A PROTLAČOVÁNÍ KOVŮ; PRÁŠKOVÁ METALURGIE|
256100|2026-01-01||VÝROBA NOŽÍŘSKÝCH VÝROBKŮ|
259000|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH KOVODĚLNÝCH VÝROBKŮ|
259400|1992-01-01|2025-12-31|VÝROBA SPOJOVACÍCH MATERIÁLŮ A SPOJOVACÍCH VÝROBKŮ SE ZÁVITY|
261100|1992-01-01|2025-12-31|VÝROBA ELEKTRONICKÝCH SOUČÁSTEK|
264000|1992-01-01|2025-12-31|VÝROBA SPOTŘEBNÍ ELEKTRONIKY|
266000|1992-01-01|2025-12-31|VÝROBA OZAŘOVACÍCH, ELEKTROLÉČEBNÝCH A ELEKTROTERAPEUTICKÝCH PŘÍSTROJŮ|
271000|2026-01-01||VÝROBA ELEKTRICKÝCH MOTORŮ, GENERÁTORŮ, TRANSFORMÁTORŮ A ELEKTRICKÝCH ROZVODNÝCH A KONTROLNÍCH ZAŘÍZENÍ|
273000|2026-01-01||VÝROBA OPTICKÝCH A ELEKTRICKÝCH KABELŮ, ELEKTRICKÝCH VODIČŮ A ELEKTROINSTALAČNÍCH ZAŘÍZENÍ|
274000|2026-01-01||VÝROBA OSVĚTLOVACÍCH ZAŘÍZENÍ|
279000|2026-01-01||VÝROBA OSTATNÍCH ELEKTRICKÝCH ZAŘÍZENÍ|
281200|2026-01-01||VÝROBA HYDRAULICKÝCH ZAŘÍZENÍ|
282000|2026-01-01||VÝROBA OSTATNÍCH STROJŮ A ZAŘÍZENÍ PRO VŠEOBECNÉ ÚČELY|
282400|2026-01-01||VÝROBA RUČNÍCH MECHANIZOVANÝCH NÁSTROJŮ|
284000|2026-01-01||VÝROBA TVÁŘECÍCH STROJŮ NA OPRACOVÁNÍ KOVŮ A OBRÁBĚCÍCH STROJŮ|
289100|2026-01-01||VÝROBA STROJŮ PRO METALURGII|
289500|2026-01-01||VÝROBA STROJŮ A PŘÍSTROJŮ NA VÝROBU PAPÍRU A LEPENKY|
291000|1992-01-01|2025-12-31|VÝROBA MOTOROVÝCH VOZIDEL A JEJICH MOTORŮ|
293200|1992-01-01|2025-12-31|VÝROBA OSTATNÍCH DÍLŮ A PŘÍSLUŠENSTVÍ PRO MOTOROVÁ VOZIDLA|
301200|1992-01-01|2025-12-31|STAVBA REKREAČNÍCH A SPORTOVNÍCH ČLUNŮ|
303200|2026-01-01||VÝROBA VOJENSKÝCH LETADEL, KOSMICKÝCH LODÍ A SOUVISEJÍCÍCH ZAŘÍZENÍ|
309200|2026-01-01||VÝROBA JÍZDNÍCH KOL A VOZÍKŮ PRO INVALIDY|
310900|1992-01-01|2025-12-31|VÝROBA OSTATNÍHO NÁBYTKU|
321200|2026-01-01||VÝROBA KLENOTŮ A PŘÍBUZNÝCH VÝROBKŮ|
324000|2026-01-01||VÝROBA HER A HRAČEK|
329900|2026-01-01||OSTATNÍ ZPRACOVATELSKÝ PRŮMYSL J. N.|
331200|2026-01-01||OPRAVY A ÚDRŽBA STROJŮ|
331600|2026-01-01||OPRAVY A ÚDRŽBA CIVILNÍCH LETADEL A KOSMICKÝCH LODÍ|
331810|2026-01-01||OPRAVY A ÚDRŽBA VOJENSKÝCH BOJOVÝCH VOZIDEL|
350000|2026-01-01||DODÁVÁNÍ ELEKTŘINY, PLYNU, PÁRY A KLIMATIZOVANÉHO VZDUCHU|
351300|2026-01-01||PŘENOS ELEKTŘINY|
352100|2026-01-01||VÝROBA PLYNU|
353010|1992-01-01|2025-12-31|VÝROBA TEPLA|
353050|1992-01-01|2025-12-31|VÝROBA CHLADICÍ VODY|
380000|1992-01-01|2025-12-31|SHROMAŽĎOVÁNÍ, SBĚR A ODSTRAŇOVÁNÍ ODPADŮ, ÚPRAVA ODPADŮ K DALŠÍMU VYUŽITÍ|
382000|1992-01-01|2025-12-31|ODSTRAŇOVÁNÍ ODPADŮ|
383000|2026-01-01||ODSTRAŇOVÁNÍ ODPADŮ BEZ DALŠÍHO VYUŽITÍ|
410000|1992-01-01|2025-12-31|VÝSTAVBA BUDOV|
421000|1992-01-01|2025-12-31|VÝSTAVBA SILNIC A ŽELEZNIC|
422000|1992-01-01|2025-12-31|VÝSTAVBA INŽENÝRSKÝCH SÍTÍ|
429000|1992-01-01|2025-12-31|VÝSTAVBA OSTATNÍCH STAVEB|
431000|1992-01-01|2025-12-31|DEMOLICE A PŘÍPRAVA STAVENIŠTĚ|
432000|1992-01-01|2025-12-31|ELEKTROINSTALAČNÍ, INSTALATÉRSKÉ A OSTATNÍ STAVEBNĚ INSTALAČNÍ PRÁCE|
432300|2026-01-01||INSTALACE IZOLACÍ|
433200|2026-01-01||TRUHLÁŘSKÉ PRÁCE|
433900|1992-01-01|2025-12-31|OSTATNÍ KOMPLETAČNÍ A DOKONČOVACÍ PRÁCE|
439100|1992-01-01|2025-12-31|POKRÝVAČSKÉ PRÁCE|
451100|1992-01-01|2025-12-31|OBCHOD S AUTOMOBILY A JINÝMI LEHKÝMI MOTOROVÝMI VOZIDLY|
460000|2026-01-01||VELKOOBCHOD|
461300|2026-01-01||ZPROSTŘEDKOVÁNÍ V OBLASTI VELKOOBCHODU ZA PROVIZI SE DŘEVEM A STAVEBNÍMI MATERIÁLY|
461700|2026-01-01||ZPROSTŘEDKOVÁNÍ V OBLASTI VELKOOBCHODU ZA PROVIZI S POTRAVINAMI, NÁPOJI A TABÁKOVÝMI VÝROBKY|
462000|2026-01-01||VELKOOBCHOD SE ZÁKLADNÍMI ZEMĚDĚLSKÝMI PRODUKTY A ŽIVÝMI ZVÍŘATY|
462400|2026-01-01||VELKOOBCHOD SE SUROVÝMI KŮŽEMI, KOŽEŠINAMI A USNĚMI|
463300|2026-01-01||VELKOOBCHOD S MLÉČNÝMI VÝROBKY, VEJCI, JEDLÝMI OLEJI A TUKY|
463700|2026-01-01||VELKOOBCHOD S KÁVOU, ČAJEM, KAKAEM A KOŘENÍM|
464100|2026-01-01||VELKOOBCHOD S TEXTILEM|
464400|2026-01-01||VELKOOBCHOD S PORCELÁNOVÝMI, KERAMICKÝMI A SKLENĚNÝMI VÝROBKY A ČISTICÍMI PROSTŘEDKY|
464700|2026-01-01||VELKOOBCHOD S NÁBYTKEM, KOBERCI A OSVĚTLOVACÍMI ZAŘÍZENÍMI PRO DOMÁCNOSTI, KANCELÁŘE A OBCHODY|
465200|1992-01-01|2025-12-31|VELKOOBCHOD S ELEKTRONICKÝM A TELEKOMUNIKAČNÍM ZAŘÍZENÍM A JEHO DÍLY|
466300|2026-01-01||VELKOOBCHOD S TĚŽEBNÍMI A STAVEBNÍMI STROJI A ZAŘÍZENÍM|
467100|1992-01-01|2025-12-31|VELKOOBCHOD S PEVNÝMI, KAPALNÝMI A PLYNNÝMI PALIVY A PŘÍBUZNÝMI VÝROBKY|
467300|2026-01-01||VELKOOBCHOD S MOTOCYKLY A JEJICH DÍLY A PŘÍSLUŠENSTVÍM|
468100|2026-01-01||VELKOOBCHOD S PEVNÝMI, KAPALNÝMI A PLYNNÝMI PALIVY A PŘÍBUZNÝMI VÝROBKY|
469000|1992-01-01|2025-12-31|NESPECIALIZOVANÝ VELKOOBCHOD|
471200|2026-01-01||OSTATNÍ NESPECIALIZOVANÝ MALOOBCHOD|
472300|1992-01-01|2025-12-31|MALOOBCHOD S RYBAMI, KORÝŠI A MĚKKÝŠI|
472700|2026-01-01||SPECIALIZOVANÝ MALOOBCHOD S OSTATNÍMI POTRAVINAMI|
474300|1992-01-01|2025-12-31|MALOOBCHOD S AUDIO- A VIDEOZAŘÍZENÍM|
475300|2026-01-01||MALOOBCHOD S KOBERCI, PODLAHOVÝMI KRYTINAMI A NÁSTĚNNÝMI OBKLADY|
476100|2026-01-01||MALOOBCHOD S KNIHAMI|
